نام,آدرس,نوع پست,ظرفیت,فیدر,کد شناسایی
کوچه متحدین,خ شهداء خ 25 متری شمالی داخل کوچه سر کوچه 25 قنادی صایب,عمومى,500,شهید مقدم - فیدر دیانتی,E3101@00000SP00583
فردوسی,بلوار انصاری کوچه فردوسی,عمومى,500,قلی پور - فیدر یادگار امام,E3101@00000SP00703
خیابان 171,گلسار - نبش خیابان 171,عمومى,400,توحید - فیدر گلایل,E3101@00000SP00878
نامجو2,بلوار قلیپور کوچه نامجو,عمومى,315,قلی پور - فیدر مجتمع آزادگان,E3101@00000SP00977
گلسار خیابان 192 انتهای کوچه دوم,گلسار-خیابان 192,عمومى,315,توحید - فیدر استاد معین,E3101@00000SP00990
پشت کادوس,گلسار خیابان 126پشت کادوس,عمومى,400,توحید - فیدر استاد معین,E3101@00000SP01108
ساختمان اداری سپیدماکیان,کفترود ساختمان اداری سپیدماکیان,اختصاصی,250,تولمات - فیدر شیخ محله,E3101@00000SP01136
موسی نژاد,بلوار انصاری اسماعیل آباد کوچه موسی نژاد,عمومى,315,شهید مقدم - فیدر لاهیجان,E3101@00000SP01138
کوی اساتید,بلوار خرمشهر کوی اساتید,عمومى,250,شهید مقدم - فیدر لاهیجان,E3101@00000SP01139
خ 173,گلسار-خ 173,عمومى,200,توحید - فیدر گلایل,E3101@00000SP01324
کوی بهاران - بهار 6,بلوار انصاری کوی بهاران - بهار 6,عمومى,500,شهید مقدم - فیدر کانادا,E3101@00000SP01415
بهار6   دوم,بلوار انصاری کوی بهاران - بهار 6 ترانس دوم,عمومى,315,شهید مقدم - فیدر کانادا,E3101@00000SP01419
خیابان نواب مگفا فناوری اطلاعات,خیابان نواب,اختصاصی,315,قلی پور - فیدر فرهنگیان,E3101@00000SP01428
آلمان یاس 17,آلمان کوچه یاس 17,عمومى,100,شهید مقدم - فیدر رینگ شهر,E3101@00000SP01431
خیابان جمهوری- بهروز خورگامی,روستای خنفچه,عمومى,25,توحید - فیدر پیربازار,E3101@00000SP01533
پایین کوه یخ علیپور,پایین کوه یخ علیپور,عمومى,100,پوشش - فیدر خمام,E3101@00000SP02675
مسجد صاحب الزمان,پایین کوی یخ,عمومى,63,پوشش - فیدر خمام,E3101@00000SP02676
کوچه محمد نیا,دو چی پای بست بالا کویخ  کوچه محمد نیا,عمومى,100,پوشش - فیدر خمام,E3101@00000SP02677
دو آب مخابرات,دوآب مردخ مخابرات,عمومى,100,پوشش - فیدر خمام,E3101@00000SP02678
برنجکوبی پارسا,طش برنجکوبی پارسا,اختصاصی,100,پوشش - فیدر خمام,E3101@00000SP02679
بالا محله طش,بالا محله طش,عمومى,100,پوشش - فیدر خمام,E3101@00000SP02680
مرتضوی,طش کوچه مرتضوی,عمومى,75,پوشش - فیدر خمام,E3101@00000SP02681
اقبالی,طش ترانس اقبالی,عمومى,100,پوشش - فیدر خمام,E3101@00000SP02682
گیلان گستر(گیلان فلکس),جاده انزلی,عمومى,200,پوشش - فیدر خمام,E3101@00000SP02683
دو آب مردخ مسجد ابولفضل,جاده انزلی بالا کویخ,عمومى,100,پوشش - فیدر خمام,E3101@00000SP02694
فردی,جاده انزلی بالا کویخ,عمومى,125,پوشش - فیدر خمام,E3101@00000SP02695
کیاموتورز(پیشتاز خودروی گیل),جاده انزلی,عمومی و اختصاصی,100,پوشش - فیدر خمام,E3101@00000SP02696
صنعت کار,جاده انزلی,اختصاصی,50,پوشش - فیدر خمام,E3101@00000SP02697
پمپ بنزین عبدالله زاده,جاده انزلی پمپ بنزین عبدالله زاده,اختصاصی,50,پوشش - فیدر خمام,E3101@00000SP02698
یخچال سازی یوسفی,جاده انزلی,عمومی و اختصاصی,100,پوشش - فیدر خمام,E3101@00000SP02699
کناف-محمدی,جاده انزلی  کناف-محمدی,اختصاصی,100,پوشش - فیدر خمام,E3101@00000SP02700
اطاق سازی کریمی,جاده انزلی اطاق سازی کریمی,عمومی و اختصاصی,250,پوشش - فیدر خمام,E3101@00000SP02701
یخسازی حسنی,جاده انزلی  یخسازی حسنی,عمومی و اختصاصی,315,پوشش - فیدر خمام,E3101@00000SP02702
تالار عروسی ماه عسل صادق زاده,جاده انزلی,اختصاصی,200,پوشش - فیدر خمام,E3101@00000SP02703
بهتاج,جاده انزلی,عمومی و اختصاصی,100,پوشش - فیدر هلال احمر,E3101@00000SP02704
سنگبری پیروز,جاده انزلی ابتدای دیوار فرودگاه,عمومى,200,پوشش - فیدر هلال احمر,E3101@00000SP02705
سنگ بری مرجان,جاده انزلی,اختصاصی,200,پوشش - فیدر هلال احمر,E3101@00000SP02708
برنجکوبی فرضی,جاده انزلی  دوچی پای بست پشت دیوار فرودگاه برنجکوبی فرضی,اختصاصی,200,پوشش - فیدر هلال احمر,E3101@00000SP02709
دوچی پای بست,جاده انزلی  دوچی پای بست,عمومى,200,پوشش - فیدر هلال احمر,E3101@00000SP02710
جاده انزلی انبار جهاد,جاده انزلی,عمومی و اختصاصی,250,پوشش - فیدر خمام,E3101@00000SP02712
