نام,آدرس,نوع پست,ظرفیت,فیدر,کد شناسایی
کیوسک ژاندارمری, خیابان دفاع ژاندارمری ,عمومی و اختصاصی,500,شهید مقدم - فیدر کانادا,E3101@NZ000SB00126
عطر گل یاس,خ امین الضرب مقابل مجتمع مسکونی یاس,عمومی و اختصاصی,1000,معلم - فیدر انصاری,E3101@NZ000SB00128
منوچهری - داوود زاده,خیابان شهدا خیابان فرهنگ و دين كوچه داودزاده,عمومى,1000,معلم - فیدر انصاری,E3101@NZ000SB00130
اعتماد,خیابان شهدا  كوچه اعتماد,عمومى,1250,معلم - فیدر انصاری,E3101@NZ000SB00131
فرهنگ و هنر,خیابان امین الضرب روبروی قندو شکر,عمومى,630,معلم - فیدر انصاری,E3101@NZ000SB00132
خوش سرور,خیابان شریعتی بين ميدان صيقلان و زرجوب,عمومى,800,رشت مرکزی - فیدر صیقلان,E3101@NZ000SB00133
زرجوب,میدان زرجوب جنب سد کشاورزی,عمومى,630,رشت مرکزی - فیدر صیقلان,E3101@NZ000SB00134
آموزش و پرورش - امین ضرب,میدان زرجوب خیابان امین ضرب,عمومى,800,معلم - فیدر انصاری,E3101@NZ000SB00135
پاستوریزه,خیابان شهدا پاستوریزه,عمومی و اختصاصی,1000,سیار جانبازان - فیدر جانبازان,E3101@NZ000SB00140
فرهنگ و دین,خیابان شهدا خیابان فرهنگ ودین,عمومی و اختصاصی,1250,معلم - فیدر انصاری,E3101@NZ000SB00141
عظیمی,خیابان شهدا کوچه شهید عظیمی,عمومی و اختصاصی,1000,معلم - فیدر انصاری,E3101@NZ000SB00142
استقلال,ژاندارمري كوي استقلال,عمومى,1000,شهید مقدم - فیدر دیانتی,E3101@NZ000SB00143
هدایتی 1,بلوار دیلمان خیابان آذر اندامی شهرک بهشتی,عمومى,1250,شهید مقدم - فیدر گلسار 6,E3101@NZ000SB00149
بوستان 7 - خانه گستر,شهرک بهشتی بوستان 7,عمومى,1000,شهید مقدم - فیدر دیلمان,E3101@NZ000SB00150
گلستان 16 - مسکونی تعاون سپاه,بلوار دیلمان شرقی شهرک شهید بهشتی انتهای کوچه گلستان 14 داخل مجتمع های مسکونی تعاون سپاه,عمومى,630,شهید مقدم - فیدر دیلمان,E3101@NZ000SB00151
رفعتی,بلوار دیلمان شرقی خ وحدت,عمومى,1250,شهید مقدم - فیدر گلسار 7,E3101@NZ000SB00152
گلسار6,بلوارگیلان-نبش خ 192,عمومی و اختصاصی,1000,توحید - فیدر بلوار گیلان,E3101@NZ000SB00153
مسکن عمران175 ,بلوار گیلان-نبش خیابان175 گلسار,عمومى,1250,توحید - فیدر گلایل,E3101@NZ000SB00155
گلسار9,بلوار گیلان-خیابان175گلسار,عمومى,1250,توحید - فیدر گلایل,E3101@NZ000SB00156
ارغوان,بلوارگیلان-خیابان188,عمومى,800,توحید - فیدر بلوار گیلان,E3101@NZ000SB00157
گلسار5,بلوارگیلان-نبش خیابان176(ارکیده),عمومی و اختصاصی,1000,توحید - فیدر بلوار گیلان,E3101@NZ000SB00158
الغدیر1,بلوار خرمشهر-کیژده-مجتمع مسکونی دیانتی الغدیر1,عمومى,800,شهید مقدم - فیدر پردیسان,E3101@NZ000SB00182
پزنده کار,خیابان شهدا کوی شهدای اسلام (کیژده ),عمومى,1000,سیار جانبازان - فیدر جانبازان,E3101@NZ000SB00191
دلخوش,خیابان شهدا کوچه بهشتی رو بروی تازه آباد,عمومى,630,سیار جانبازان - فیدر جانبازان,E3101@NZ000SB00192
کمیته امداد, خیابان شهدا کوچه پور یوسف ,عمومى,800,سیار جانبازان - فیدر جانبازان,E3101@NZ000SB00201
کامپکت(فشرده)صادقی,بلوار گیلان خیابان 176 ارکیده پارک سوم آلمانیها,عمومى,1000,توحید - فیدر بلوار گیلان,E3101@NZ000SB00159
بنیاد مسکن,بلوار گیلان خیابان 176 غربی,عمومی و اختصاصی,800,توحید - فیدر بلوار گیلان,E3101@NZ000SB00160
تربیت معلم,بلوارگیلان-مرکزتربیت معلم بنت الهدی,عمومی و اختصاصی,800,توحید - فیدر بلوار گیلان,E3101@NZ000SB00161
159 جدید,بلوار گیلان خیابان 159,عمومی و اختصاصی,1600,قلی پور - فیدر توحید,E3101@NZ000SB00162
گلسار 4,بلوار گیلان خیابان 159,عمومى,1000,قلی پور - فیدر توحید,E3101@NZ000SB00163
کلانتری,گلسار بلوار گیلان میدان شقایق,عمومى,1000,شهید مقدم - فیدر گلسار 7,E3101@NZ000SB00164
